Genre,SubGenre,SubSubGenre,SubSubSubGenre
Alternative,Art Punk,,
Alternative,Alternative Rock,,
Alternative,Britpunk,,
Alternative,College Rock,,
Alternative,Crossover Thrash,,
Alternative,Crust Punk (thx Haug),,
Alternative,Emotional Hardcore (emo / emocore),,
Alternative,Experimental Rock,,
Alternative,Folk Punk,,
Alternative,Goth / Gothic Rock,,
Alternative,Grunge,,
Alternative,Hardcore Punk,,
Alternative,Hard Rock,,
Alternative,Indie Rock,,
Alternative,Lo-fi,,
Alternative,Musique Concrète,,
Alternative,New Wave,,
Alternative,Progressive Rock,,
Alternative,Punk,,
Alternative,Shoegaze,,
Anime,Steampunk,,
Blues,Acoustic Blues,,
Blues,African Blues,,
Blues,Blues Rock,,
Blues,Blues Shouter,,
Blues,British Blues,,
Blues,Canadian Blues,,
Blues,Chicago Blues,,
Blues,Classic Blues,,
Blues,Classic Female Blues,,
Blues,Contemporary Blues,,
Blues,Contemporary R&B,,
Blues,Country Blues,,
Blues,Dark Blues,,
Blues,Delta Blues,,
Blues,Detroit Blues,,
Blues,Doom Blues,,
Blues,Electric Blues,,
Blues,Folk Blues,,
Blues,Gospel Blues,,
Blues,Harmonica Blues,,
Blues,Hill Country Blues,,
Blues,Hokum Blues,,
Blues,Jazz Blues,,
Blues,Jump Blues,,
Blues,Kansas City Blues,,
Blues,Louisiana Blues,,
Blues,Memphis Blues,,
Blues,Modern Blues,,
Blues,New Orlean Blues,,
Blues,NY Blues,,
Blues,Piano Blues,,
Blues,Piedmont Blues,,
Blues,Punk Blues,,
Blues,Ragtime Blues,,
Blues,Rhythm Blues,,
Blues,Soul Blues,,
Blues,St. Louis Blues,,
Blues,Soul Blues,,
Blues,Swamp Blues,,
Blues,Texas Blues,,
Blues,Urban Blues,,
Blues,Vandeville,,
Blues,West Coast Blues,,
Blues,Zydeco (also under ‘World’ genre),,
Children’s Music,Lullabies,,
Children’s Music,Sing-Along,,
Children’s Music,Stories,,
Classical,Avant-Garde,,
Classical,Ballet,,
Classical,Baroque,,
Classical,Cantata,,
Classical,Chamber Music,,
Classical,String Quartet,,
Classical,Chant,,
Classical,Choral,,
Classical,Classical Crossover,,
Classical,Concerto,,
Classical,Concerto Grosso,,
Classical,Contemporary Classical,,
Classical,Early Music,,
Classical,Expressionist,,
Classical,High Classical,,
Classical,Impressionist,,
Classical,Mass Requiem,,
Classical,Medieval,,
Classical,Minimalism,,
Classical,Modern Composition,,
Classical,Modern Classical,,
Classical,Opera,,
Classical,Oratorio,,
Classical,Orchestral,,
Classical,Organum,,
Classical,Renaissance,,
Classical,Romantic (early period),,
Classical,Romantic (later period),,
Classical,Sonata,,
Classical,Symphonic,,
Classical,Symphony,,
Classical,Twelve-tone,,
Classical,Wedding Music,,
Comedy,Novelty,,
Comedy,Parody Music (Weird Al!),,
Comedy,Stand-up Comedy,,
Comedy,Vaudeville,,
Commercial,Jingles,,
Commercial,TV Themes,,
Country,Alternative Country,,
Country,Americana,,
Country,Australian Country,,
Country,Bakersfield Sound,,
Country,Bluegrass,,
Country,Progressive Bluegrass,,
Country,Reactionary Bluegrass,,
Country,Blues Country,,
Country,Cajun Fiddle Tunes,,
Country,Christian Country,,
Country,Classic Country,,
Country,Close Harmony,,
Country,Contemporary Bluegrass,,
Country,Contemporary Country,,
Country,Country Gospel,,
Country,Country Pop,,
Country,Country Rap,,
Country,Country Rock,,
Country,Country Soul,,
Country,Cowboy / Western,,
Country,Cowpunk,,
Country,Dansband,,
Country,Honky Tonk,,
Country,Franco-Country,,
Country,Gulf and Western,,
Country,Hellbilly Music,,
Country,Honky Tonk,,
Country,Instrumental Country,,
Country,Lubbock Sound,,
Country,Nashville Sound,,
Country,Neotraditional Country,,
Country,Outlaw Country,,
Country,Progressive,,
Country,Psychobilly / Punkabilly,,
Country,Red Dirt,,
Country,Sertanejo,,
Country,Texas County,,
Country,Traditional Bluegrass,,
Country,Traditional Country,,
Country,Truck-Driving Country,,
Country,Urban Cowboy,,
Country,Western Swing,,
Country,Zydeco,,
Dance (EDM),Club / Club Dance,,
Dance (EDM),Breakcore,,
Dance (EDM),Breakbeat / Breakstep,,
Dance (EDM),Breakbeat / Breakstep,4-Beat,
Dance (EDM),Breakbeat / Breakstep,Acid Breaks,
Dance (EDM),Breakbeat / Breakstep,Baltimore Club,
Dance (EDM),Breakbeat / Breakstep,Big Beat,
Dance (EDM),Breakbeat / Breakstep,Breakbeat Hardcore,
Dance (EDM),Breakbeat / Breakstep,Broken Beat,
Dance (EDM),Breakbeat / Breakstep,Florida Breaks,
Dance (EDM),Breakbeat / Breakstep,Nu Skool Breaks,
Dance (EDM),Brostep,,
Dance (EDM),Chillstep,,
Dance (EDM),Dubstep,,
Dance (EDM),Electro House,,
Dance (EDM),Electroswing,,
Dance (EDM),Exercise,,
Dance (EDM),Future Garage,,
Dance (EDM),Garage,,
Dance (EDM),Glitch Hop,,
Dance (EDM),Glitch Pop,,
Dance (EDM),Grime,,
Dance (EDM),Hardcore,,
Dance (EDM),Hardcore,Bouncy House,
Dance (EDM),Hardcore,Bouncy Techno,
Dance (EDM),Hardcore,Breakcore,
Dance (EDM),Hardcore,Digital Hardcore,
Dance (EDM),Hardcore,Doomcore,
Dance (EDM),Hardcore,Dubstyle,
Dance (EDM),Hardcore,Gabber,
Dance (EDM),Hardcore,Happy Hardcore,
Dance (EDM),Hardcore,Hardstyle,
Dance (EDM),Hardcore,Jumpstyle,
Dance (EDM),Hardcore,Makina,
Dance (EDM),Hardcore,Speedcore,
Dance (EDM),Hardcore,Terrorcore,
Dance (EDM),Hardcore,Uk Hardcore,
Dance (EDM),Hard Dance,,
Dance (EDM),Hi-NRG / Eurodance,,
Dance (EDM),Horrorcore (thx Matt),,
Dance (EDM),House,Acid House,
Dance (EDM),House,Chicago House,
Dance (EDM),House,Deep House,
Dance (EDM),House,Diva House,
Dance (EDM),House,Dutch House,
Dance (EDM),House,Electro House,
Dance (EDM),House,Freestyle House,
Dance (EDM),House,French House,
Dance (EDM),House,Funky House,
Dance (EDM),House,Ghetto House,
Dance (EDM),House,Hardbag,
Dance (EDM),House,Hip House,
Dance (EDM),House,Italo House,
Dance (EDM),House,Latin House,
Dance (EDM),House,Minimal House,
Dance (EDM),House,Progressive House,
Dance (EDM),House,Rave Music,
Dance (EDM),House,Swing House,
Dance (EDM),House,Tech House,
Dance (EDM),House,Tribal House,
Dance (EDM),House,Tropical House,
Dance (EDM),House,UK Hard House,
Dance (EDM),House,US Garage,
Dance (EDM),House,Vocal House,
Dance (EDM),Jackin House,,
Dance (EDM),Jungle / Drum’n’bass,,
Dance (EDM),Liquid Dub,,
Dance (EDM),Regstep,,
Dance (EDM),Speedcore,,
Dance (EDM),Techno,Acid Techno,
Dance (EDM),Techno,Detroit Techno,
Dance (EDM),Techno,Free Tekno,
Dance (EDM),Techno,Ghettotech,
Dance (EDM),Techno,Minimal,
Dance (EDM),Techno,Nortec,
Dance (EDM),Techno,Schranz,
Dance (EDM),Techno,Techno-Dnb,
Dance (EDM),Techno,Technopop,
Dance (EDM),Techno,Tecno Brega,
Dance (EDM),Techno,Toytown Techno,
Dance (EDM),Trance,Acid Trance,
Dance (EDM),Trance,Acid-House,
Dance (EDM),Trance,Classic Trance,
Dance (EDM),Trance,Dark Psy,
Dance (EDM),Trance,Deep House,
Dance (EDM),Trance,Dream Trance,
Dance (EDM),Trance,Goa Trance,
Dance (EDM),Trance,Goa Trance,Dark Psytrance
Dance (EDM),Trance,Goa Trance,Full on
Dance (EDM),Trance,Goa Trance,Psybreaks
Dance (EDM),Trance,Goa Trance,Psyprog
Dance (EDM),Trance,Goa Trance,Suomisaundi
Dance (EDM),Trance,Hard Trance,
Dance (EDM),Trance,Prog. Trance,
Dance (EDM),Trance,Psy-Trance,
Dance (EDM),Trance,Minimal Techno,
Dance (EDM),Trance,Tech House,
Dance (EDM),Trance,Tech Trance,
Dance (EDM),Trance,Uplifting Trance,
Dance (EDM),Trance,Uplifting Trance,Orchestral Uplifting
Dance (EDM),Trance,Vocal Trance,
Dance (EDM),Trap,,
Disney,,,
Easy Listening,Background,,
Easy Listening,Bop,,
Easy Listening,Elevator,,
Easy Listening,Furniture,,
Easy Listening,Lounge,,
Easy Listening,Middle of the Road,,
Easy Listening,Swing,,
Electronic,2-Step (thx Ran’dom Haug),,
Electronic,8bit,,
Electronic,Ambient,Ambient Dub,
Electronic,Ambient,Ambient House,
Electronic,Ambient,Ambient Techno,
Electronic,Ambient,Dark Ambient,
Electronic,Ambient,Drone Music,
Electronic,Ambient,Illbient,
Electronic,Ambient,Isolationism,
Electronic,Ambient,Lowercase,
Electronic,Asian Underground,,
Electronic,Bassline,,
Electronic,Chillwave,,
Electronic,Chiptune,Bitpop,
Electronic,Chiptune,Game Boy,
Electronic,Chiptune,Nintendocore,
Electronic,Chiptune,Video Game Music,
Electronic,Chiptune,Yorkshire Bleeps and Bass,
Electronic,Crunk,,
Electronic,Downtempo,Acid Jazz,
Electronic,Downtempo,Balearic Beat,
Electronic,Downtempo,Chill Out,
Electronic,Downtempo,Dub Music,
Electronic,Downtempo,Dubtronica,
Electronic,Downtempo,Ethnic Electronica,
Electronic,Downtempo,Moombahton,
Electronic,Downtempo,Nu Jazz,
Electronic,Downtempo,Trip Hop,
Electronic,Drum & Bass,Darkcore,
Electronic,Drum & Bass,Darkstep,
Electronic,Drum & Bass,Drumfunk,
Electronic,Drum & Bass,Drumstep,
Electronic,Drum & Bass,Hardstep,
Electronic,Drum & Bass,Intelligent Drum and Bass,
Electronic,Drum & Bass,Jump-Up,
Electronic,Drum & Bass,Liquid Funk,
Electronic,Drum & Bass,Neurofunk,
Electronic,Drum & Bass,Oldschool Jungle,Darkside Jungle
Electronic,Drum & Bass,Oldschool Jungle,Ragga Jungle
Electronic,Drum & Bass,Raggacore,
Electronic,Drum & Bass,Sambass,
Electronic,Drum & Bass,Techstep,
Electronic,Electro,Crunk,
Electronic,Electro,Electro Backbeat,
Electronic,Electro,Electro-Grime,
Electronic,Electro,Electropop,
Electronic,Electro-swing,,
Electronic,Electroacoustic,Acousmatic Music,
Electronic,Electroacoustic,Computer Music,
Electronic,Electroacoustic,Electroacoustic Improvisation,
Electronic,Electroacoustic,Field Recording,
Electronic,Electroacoustic,Live Coding,
Electronic,Electroacoustic,Live Electronics,
Electronic,Electroacoustic,Soundscape Composition,
Electronic,Electroacoustic,Tape Music,
Electronic,Electronica,Berlin School,
Electronic,Electronica,Chillwave,
Electronic,Electronica,Electronic Art Music,
Electronic,Electronica,Electronic Dance Music,
Electronic,Electronica,Folktronica,
Electronic,Electronica,Freestyle Music,
Electronic,Electronica,Glitch,
Electronic,Electronica,Idm,
Electronic,Electronica,Laptronica,
Electronic,Electronica,Skweee,
Electronic,Electronica,Sound Art,
Electronic,Electronica,Synthcore,
Electronic,Electronic Rock,Alternative Dance,Baggy
Electronic,Electronic Rock,Alternative Dance,Madchester
Electronic,Electronic Rock,Dance-Punk,
Electronic,Electronic Rock,Dance-Rock,
Electronic,Electronic Rock,Dark Wave,
Electronic,Electronic Rock,Electroclash,
Electronic,Electronic Rock,Electronicore,
Electronic,Electronic Rock,Electropunk,
Electronic,Electronic Rock,Ethereal Wave,
Electronic,Electronic Rock,Indietronica,
Electronic,Electronic Rock,New Rave,
Electronic,Electronic Rock,Space Rock,
Electronic,Electronic Rock,Synthpop,
Electronic,Electronic Rock,Synthpunk,
Electronic,Eurodance,Bubblegum Dance,
Electronic,Eurodance,Italo Dance,
Electronic,Eurodance,Turbofolk,
Electronic,Hardstyle,,
Electronic,Hi-Nrg,Eurobeat,
Electronic,Hi-Nrg,Hard Nrg,
Electronic,Hi-Nrg,New Beat,
Electronic,IDM/Experimental,,
Electronic,Industrial,,
Electronic,Trip Hop,,
Electronic,Vaporwave,Hyponagogic,
Electronic,Vaporwave,Vektroid,
Electronic,Vaporwave,Mallsoft,
Electronic,Vaporwave,Vaportrap,
Electronic,Vaporwave,Vaporhop,
Electronic,Vaporwave,Protovapor,
Electronic,UK Garage,2-Step,
Electronic,UK Garage,4×4,
Electronic,UK Garage,Bassline,
Electronic,UK Garage,Grime,
Electronic,UK Garage,Speed Garage,
Enka,,,
French Pop,American Folk Revival,,
Folk Music,Anti-Folk,,
Folk Music,British Folk Revival,,
Folk Music,Contemporary Folk,,
Folk Music,Filk Music,,
Folk Music,Freak Folk,,
Folk Music,Indie Folk,,
Folk Music,Industrial Folk,,
Folk Music,Neofolk,,
Folk Music,Progressive Folk,,
Folk Music,Psychedelic Folk,,
Folk Music,Sung Poetry,,
Folk Music,Techno-Folk,,
German Folk,Volksmusik,,
German Folk,Schlager,,
German Folk,Oompah,,
German Folk,Liedermacher,,
German Folk,Neue Deutche Welle (NDW),,
German Folk,Alpenrock,,
German Folk,Krautrock,,
German Folk,Deutche Hip Hop,,
German Folk,Mittelater Rock,,
German Folk,Yodeling,,
German Pop,,,
Fitness & Workout,,,
Hip-Hop/Rap,Alternative Rap,,
Hip-Hop/Rap,Avant-Garde,,
Hip-Hop/Rap,Bounce,,
Hip-Hop/Rap,Chap Hop,,
Hip-Hop/Rap,Christian Hip Hop,,
Hip-Hop/Rap,Conscious Hip Hop,,
Hip-Hop/Rap,Country-Rap,,
Hip-Hop/Rap,Grunk,,
Hip-Hop/Rap,Crunkcore,,
Hip-Hop/Rap,Cumbia Rap,,
Hip-Hop/Rap,Dirty South,,
Hip-Hop/Rap,East Coast,Brick City Club,
Hip-Hop/Rap,East Coast,Hardcore Hip Hop,
Hip-Hop/Rap,East Coast,Mafioso Rap,
Hip-Hop/Rap,East Coast,New Jersey Hip Hop,
Hip-Hop/Rap,Freestyle Rap,,
Hip-Hop/Rap,G-Funk,,
Hip-Hop/Rap,Gangsta Rap,,
Hip-Hop/Rap,Golden Age,,
Hip-Hop/Rap,Grime,,
Hip-Hop/Rap,Hardcore Rap,,
Hip-Hop/Rap,Hip-Hop,,
Hip-Hop/Rap,Hip Pop,,
Hip-Hop/Rap,Horrorcore,,
Hip-Hop/Rap,Hyphy,,
Hip-Hop/Rap,Industrial Hip Hop,,
Hip-Hop/Rap,Instrumental Hip Hop,,
Hip-Hop/Rap,Jazz Rap,,
Hip-Hop/Rap,Latin Rap,,
